"rgi_id","rgi_g_id","segment_id","is_main","outflow_id","strahler_n","length_m"
"RGI2000-v7.0-L-01-00148","RGI2000-v7.0-G-01-00140",0,1,-1,1,1674
"RGI2000-v7.0-L-01-00149","RGI2000-v7.0-G-01-00141",0,1,-1,1,1085
"RGI2000-v7.0-L-01-00150","RGI2000-v7.0-G-01-00142",0,1,-1,1,503
"RGI2000-v7.0-L-01-00151","RGI2000-v7.0-G-01-00143",0,1,-1,1,733
"RGI2000-v7.0-L-01-00152","RGI2000-v7.0-G-01-00144",0,1,-1,1,903
"RGI2000-v7.0-L-01-00153","RGI2000-v7.0-G-01-00145",0,1,-1,1,905
"RGI2000-v7.0-L-01-00154","RGI2000-v7.0-G-01-00146",0,1,-1,1,1263
"RGI2000-v7.0-L-01-00155","RGI2000-v7.0-G-01-00147",0,1,-1,1,907
"RGI2000-v7.0-L-01-00156","RGI2000-v7.0-G-01-00148",0,1,-1,1,433
"RGI2000-v7.0-L-01-00157","RGI2000-v7.0-G-01-00149",0,1,-1,1,2159
"RGI2000-v7.0-L-01-00158","RGI2000-v7.0-G-01-00150",0,1,-1,1,187
"RGI2000-v7.0-L-01-00159","RGI2000-v7.0-G-01-00151",0,1,-1,1,1813
"RGI2000-v7.0-L-01-00160","RGI2000-v7.0-G-01-00152",0,1,-1,1,1290
"RGI2000-v7.0-L-01-00161","RGI2000-v7.0-G-01-00153",0,1,-1,1,1938
"RGI2000-v7.0-L-01-00162","RGI2000-v7.0-G-01-00154",0,1,-1,1,1599
"RGI2000-v7.0-L-01-00163","RGI2000-v7.0-G-01-00155",0,0,1,1,764
"RGI2000-v7.0-L-01-00164","RGI2000-v7.0-G-01-00155",1,1,-1,2,2027
"RGI2000-v7.0-L-01-00165","RGI2000-v7.0-G-01-00156",0,1,-1,1,1197
"RGI2000-v7.0-L-01-00166","RGI2000-v7.0-G-01-00157",0,1,-1,1,661
"RGI2000-v7.0-L-01-00167","RGI2000-v7.0-G-01-00158",0,1,-1,1,305
"RGI2000-v7.0-L-01-00168","RGI2000-v7.0-G-01-00159",0,1,-1,1,435
"RGI2000-v7.0-L-01-00169","RGI2000-v7.0-G-01-00160",0,1,-1,1,212
"RGI2000-v7.0-L-01-00170","RGI2000-v7.0-G-01-00161",0,1,-1,1,258
"RGI2000-v7.0-L-01-00171","RGI2000-v7.0-G-01-00162",0,1,-1,1,288
"RGI2000-v7.0-L-01-00172","RGI2000-v7.0-G-01-00163",0,1,-1,1,395
"RGI2000-v7.0-L-01-00173","RGI2000-v7.0-G-01-00164",0,1,-1,1,345
"RGI2000-v7.0-L-01-00174","RGI2000-v7.0-G-01-00165",0,1,-1,1,376
"RGI2000-v7.0-L-01-00175","RGI2000-v7.0-G-01-00166",0,1,-1,1,288
"RGI2000-v7.0-L-01-00176","RGI2000-v7.0-G-01-00167",0,1,-1,1,503
