segment_id,is_main,dist_along_line,dist_from_terminus,longitude,latitude,class
28,0,0.0,37340.51570863643,-141.03462791312697,60.183639487626,Red
28,0,500.0,37013.83087349124,-141.0281675317365,60.18061407823814,Red
28,0,1000.0,36919.713098672946,-141.0193998090064,60.179581361155385,Red
28,0,1500.0,36903.74158714686,-141.01039614079517,60.17918248546672,Red
28,0,2000.0,36922.90151008394,-141.0013582182045,60.17903609297865,Red
28,0,2500.0,36960.53930904297,-140.9923161918348,60.17899415737255,Red
28,0,3000.0,36978.219423377894,-140.98329283415922,60.17871275722828,Red
28,0,3500.0,36951.48469657206,-140.9743796179738,60.17797655336551,Red
28,0,4000.0,36827.534130439315,-140.96601824186908,60.17633832015126,Red
28,0,4500.0,36547.44390422584,-140.95932399183332,60.173351434144344,Red
29,0,0.0,56055.631854185194,-140.748030215157,60.32778489142128,Black
29,0,500.0,55564.0211644084,-140.74920546519505,60.32335518813662,Black
29,0,1000.0,55066.31767293917,-140.7516322850917,60.319064993943705,Black
29,0,1500.0,54593.88934015284,-140.75689560022317,60.31545796082999,Black
29,0,2000.0,54109.79159538172,-140.76141683341484,60.31162240289828,Black
29,0,2500.0,53618.46590272879,-140.76271722694958,60.30721749500718,Black
29,0,3000.0,53175.144837060805,-140.7612656956223,60.302828324984475,Black
29,0,3500.0,52840.38232357989,-140.75679465903374,60.298963845658385,Black
29,0,4000.0,52601.13918057857,-140.75061620964968,60.29569194964928,Black
30,0,0.0,53881.364810435356,-140.87123290420618,60.32317275203063,Black
30,0,500.0,53914.301581423206,-140.86257675641224,60.3226365406942,Black
30,0,1000.0,54141.56908096604,-140.85410036273538,60.32385484315872,Black
30,0,1500.0,54255.847013417944,-140.84535584168742,60.32397879351314,Black
30,0,2000.0,53863.46331394292,-140.84198666843938,60.320018622328085,Black
30,0,2500.0,53389.23968378655,-140.84107795540598,60.31557110490153,Black
30,0,3000.0,52939.4655789262,-140.8391448235546,60.311227142421075,Black
30,0,3500.0,52580.58236778924,-140.83474035842565,60.30742210122427,Black
30,0,4000.0,52300.70316756689,-140.82862827008577,60.30411794739936,Black
30,0,4500.0,52038.06554367219,-140.82229670295172,60.300914444529795,Black
30,0,5000.0,51750.754230111634,-140.8164333100742,60.297510862400166,Black
31,0,0.0,48858.60613825627,-140.90503807221492,60.280553352113984,Red
31,0,500.0,49069.03114064995,-140.89627702378675,60.28170298451381,Red
31,0,1000.0,49393.392455512636,-140.88846234442335,60.28393966152238,Black
31,0,1500.0,49793.561126515335,-140.8817624730911,60.28694836678268,Black
31,0,2000.0,50170.21773552494,-140.87461605685394,60.28968168110885,Black
31,0,2500.0,50385.71226622601,-140.8659095947652,60.29076114747957,Black
31,0,3000.0,50715.74016410838,-140.85805096977015,60.292944888854926,Black
31,0,3500.0,50908.928066938315,-140.84914164482282,60.29373032925553,Black
31,0,4000.0,51038.12673225014,-140.84007391747647,60.29387029137942,Black
31,0,4500.0,51161.69829517692,-140.8309994051817,60.29391497763865,Black
32,0,0.0,48343.50589027203,-140.76463876330763,60.25780214668869,Red
32,0,500.0,48559.98359988992,-140.75646581285284,60.25841591172294,Red
32,0,1000.0,48882.02509491891,-140.74820189068421,60.25998800031917,Red
32,0,1500.0,49304.64802920484,-140.74100827289018,60.262694986962515,Red
32,0,2000.0,49753.328042451336,-140.73437989302542,60.26574454217704,Black
32,0,2500.0,50207.90954336377,-140.72789520132494,60.26886877659212,Black
32,0,3000.0,50648.45828921249,-140.72100510568438,60.271771438124304,Black
32,0,3500.0,51050.00681099393,-140.7133316473548,60.27413387256594,Black
32,0,4000.0,51302.92905825653,-140.70447084896477,60.27480535260855,Black
33,0,0.0,47475.455715206794,-140.9225910783943,60.269434958661726,Red
33,0,500.0,46985.989195184724,-140.923421380812,60.2650696295122,Red
33,0,1000.0,46492.48728290788,-140.92336661363916,60.260599158457545,Red
33,0,1500.0,46000.11280493828,-140.9232053720255,60.256129257186714,Red
33,0,2000.0,45508.37476964889,-140.92299662327346,60.251659826125874,Red
33,0,2500.0,45014.535647171535,-140.92305400489923,60.247191139255044,Red
33,0,3000.0,44516.60407938562,-140.92375023789666,60.242736009343695,Red
33,0,3500.0,44017.0362452914,-140.92530670826403,60.238335517036894,Red
33,0,4000.0,43523.17183294119,-140.92806540567426,60.23408339854762,Red
33,0,4500.0,43049.82551383826,-140.9322232543227,60.23012596705321,Red
33,0,5000.0,42626.77031448382,-140.9381228659807,60.226749965893696,Red
33,0,5500.0,42228.541711617894,-140.94459771409163,60.223624373307885,Red
33,0,6000.0,41850.858520151116,-140.95141628859022,60.22068746849147,Red
34,0,0.0,58051.9177924983,-140.54261341385174,60.303113406332294,Black
34,0,500.0,57581.79220622289,-140.544188286356,60.29872341262634,Black
34,0,1000.0,57130.1651811364,-140.54486256979888,60.29426553485682,Black
34,0,1500.0,56659.98109164553,-140.5464967144792,60.289880405700806,Black
34,0,2000.0,56165.30047708286,-140.5499631353736,60.285759579415796,Black
34,0,2500.0,55666.78030062868,-140.55489158524804,60.28201469083911,Black
34,0,3000.0,55177.02489646296,-140.56086127928828,60.27865527363947,Black
34,0,3500.0,54695.76499974212,-140.56733308957743,60.27552296336908,Black
34,0,4000.0,54218.87631469874,-140.5739767865478,60.272480181459485,Black
35,0,0.0,47854.50667249534,-140.86053278644525,60.266998360838905,Red
35,0,500.0,47861.46318021158,-140.85181796434327,60.26604933033772,Red
35,0,1000.0,48096.43312886487,-140.84309297710874,60.26715407535266,Red
35,0,1500.0,48440.0925698003,-140.83517817091166,60.26932970815056,Red
35,0,2000.0,48689.33525489835,-140.82653668172748,60.270510059712905,Red
35,0,2500.0,48942.295437062916,-140.81784872781358,60.271683498448546,Red
